Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
AAPL,Apple Inc,Technology,$165.00,0.6%,4.3%,-20.8%,$0.96,"$2,547,910.37",25,14.9%,1.1,$199.11,161.3
ADBE,Adobe Inc,Technology,$465.02,0.0%,N/A,N/A,$0.00,"$208,328.96",43,0.0%,1.7,$638.25,331.89
ADI,Analog Devices Inc.,Technology,$183.36,2.0%,7.0%,11.2%,$3.45,"$90,929.72",32,61.6%,1.4,$204.20,152.1
ADP,Automatic Data Processing Inc.,Industrials,$243.31,2.3%,12.0%,12.1%,$5.24,"$99,949.45",28,60.9%,0.7,$255.10,193.67
ADSK,Autodesk Inc.,Technology,$216.50,0.0%,N/A,N/A,$0.00,"$46,309.35",51,0.0%,1.5,$279.53,188.38
ALGN,"Align Technology, Inc.",Healthcare,$298.98,0.0%,N/A,N/A,$0.00,"$22,498.98",51,0.0%,1.7,$413.20,176.34
ALXN,Alexion Pharmaceuticals Inc.,Healthcare,$182.50,0.0%,N/A,N/A,$0.00,$0.00,0,0.0%,,NaN,NaN
AMAT,Applied Materials Inc.,Technology,$189.77,0.8%,23.1%,8.8%,$1.27,"$157,679.39",22,15.0%,1.7,$214.91,107.57
AMD,Advanced Micro Devices Inc.,Technology,$146.64,0.0%,N/A,N/A,$0.00,"$236,990.77",278,0.0%,2.3,$227.30,81.02
AMGN,AMGEN Inc.,Healthcare,$268.93,3.3%,5.6%,9.2%,$8.46,"$144,247.48",21,67.7%,0.6,$324.63,203.55
AMZN,Amazon.com Inc.,Consumer Cyclical,$174.63,0.0%,N/A,N/A,$0.00,"$1,816,631.19",60,0.0%,1.5,$189.77,101.15
ASML,ASML Holding NV,Technology,$859.54,0.7%,N/A,N/A,$6.49,"$343,458.93",44,32.5%,1.8,"$1,056.34",559.12
ATVI,Activision Blizzard Inc,Communication Services,$94.42,0.0%,N/A,N/A,$0.99,$0.00,0,36.3%,,NaN,NaN
AVGO,Broadcom Inc,Technology,"$1,204.71",1.7%,14.1%,14.7%,$19.47,"$558,288.20",48,73.1%,1.9,"$1,426.00",581.35
